        step	          pH	        temp	         Alk	          mu	     pct_err	      m_Ca+2	      m_Mg+2	        m_K+	       m_Na+	     m_HCO3-	    m_H4SiO4	      m_Al+3	     la_Ca+2	     la_Mg+2	    la_HCO3-	  si_Calcite	 si_Dolomite	 si_Gibbsite	si_Kaolinite	   si_Quartz	si_Anorthite	 si_Diopside	si_Forsterite	 k_Anorthite	dk_Anorthite	  k_Diopside	 dk_Diopside	k_Forsterite	dk_Forsterite	        Step	          pH	  Alkalinity	     Ca_conc	     Mg_conc	   HCO3_conc	
         -99	         4.8	      18.000	-1.49815e-05	 0.000150694	     77.9414	  2.9977e-05	  1.4988e-05	  4.0001e-05	  2.0001e-05	  3.3823e-07	  8.0004e-05	  1.3570e-06	 -4.5475e+00	 -4.8484e+00	 -6.4768e+00	     -8.1766	    -16.6178	     -0.0330	      0.7068	     -0.0109	    -13.0903	    -18.8537	    -23.7558	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.8000e+00	 -1.4982e-05	  2.9977e-05	  1.4988e-05	  3.3823e-07	
           1	      4.7757	      18.000	-1.61114e-05	 0.000149844	     77.9537	  2.9979e-05	  1.5039e-05	  4.0001e-05	  2.0001e-05	  3.2025e-07	  5.1763e-05	  1.0991e-06	 -4.5474e+00	 -4.8469e+00	 -6.5006e+00	     -8.2245	    -16.7122	     -0.1973	     -0.0000	     -0.2000	    -13.8456	    -19.3275	    -24.0391	  1.5000e+00	 -2.0115e-09	  8.0000e-01	 -4.5448e-10	  3.0000e-01	 -2.5157e-08	  1.0000e+00	  4.7757e+00	 -1.6111e-05	  2.9979e-05	  1.5039e-05	  3.2025e-07	
           2	      4.7773	      18.000	-1.60511e-05	 0.000149859	     77.9526	  2.9982e-05	  1.5089e-05	  4.0001e-05	  2.0001e-05	  3.2140e-07	  5.1763e-05	  1.0870e-06	 -4.5473e+00	 -4.8455e+00	 -6.4990e+00	     -8.2213	    -16.7043	     -0.1973	      0.0000	     -0.2000	    -13.8424	    -19.3196	    -24.0298	  1.5000e+00	 -4.0229e-09	  8.0000e-01	 -9.0895e-10	  3.0000e-01	 -5.0315e-08	  2.0000e+00	  4.7773e+00	 -1.6051e-05	  2.9982e-05	  1.5089e-05	  3.2140e-07	
           3	     4.77891	      18.000	-1.59906e-05	 0.000149875	     77.9514	  2.9984e-05	  1.5140e-05	  4.0001e-05	  2.0001e-05	  3.2257e-07	  5.1763e-05	  1.0749e-06	 -4.5473e+00	 -4.8440e+00	 -6.4974e+00	     -8.2181	    -16.6965	     -0.1973	      0.0000	     -0.2000	    -13.8391	    -19.3116	    -24.0204	  1.5000e+00	 -6.0344e-09	  8.0000e-01	 -1.3634e-09	  3.0000e-01	 -7.5472e-08	  3.0000e+00	  4.7789e+00	 -1.5991e-05	  2.9984e-05	  1.5140e-05	  3.2257e-07	
           4	     4.78054	      18.000	  -1.593e-05	 0.000149891	     77.9503	  2.9987e-05	  1.5191e-05	  4.0001e-05	  2.0001e-05	  3.2375e-07	  5.1763e-05	  1.0630e-06	 -4.5472e+00	 -4.8425e+00	 -6.4958e+00	     -8.2149	    -16.6886	     -0.1973	      0.0000	     -0.2000	    -13.8359	    -19.3036	    -24.0110	  1.5000e+00	 -8.0458e-09	  8.0000e-01	 -1.8179e-09	  3.0000e-01	 -1.0063e-07	  4.0000e+00	  4.7805e+00	 -1.5930e-05	  2.9987e-05	  1.5191e-05	  3.2375e-07	
           5	     4.78217	      18.000	-1.58692e-05	 0.000149907	     77.9491	  2.9989e-05	  1.5242e-05	  4.0001e-05	  2.0001e-05	  3.2494e-07	  5.1763e-05	  1.0510e-06	 -4.5472e+00	 -4.8411e+00	 -6.4942e+00	     -8.2116	    -16.6806	     -0.1973	      0.0000	     -0.2000	    -13.8326	    -19.2956	    -24.0016	  1.5000e+00	 -1.0057e-08	  8.0000e-01	 -2.2724e-09	  3.0000e-01	 -1.2579e-07	  5.0000e+00	  4.7822e+00	 -1.5869e-05	  2.9989e-05	  1.5242e-05	  3.2494e-07	
           6	     4.78381	      18.000	-1.58082e-05	 0.000149924	      77.948	  2.9992e-05	  1.5292e-05	  4.0001e-05	  2.0001e-05	  3.2615e-07	  5.1763e-05	  1.0392e-06	 -4.5472e+00	 -4.8397e+00	 -6.4926e+00	     -8.2083	    -16.6727	     -0.1973	     -0.0000	     -0.2000	    -13.8292	    -19.2876	    -23.9921	  1.5000e+00	 -1.2069e-08	  8.0000e-01	 -2.7269e-09	  3.0000e-01	 -1.5094e-07	  6.0000e+00	  4.7838e+00	 -1.5808e-05	  2.9992e-05	  1.5292e-05	  3.2615e-07	
           7	     4.78547	      18.000	 -1.5747e-05	  0.00014994	     77.9468	  2.9994e-05	  1.5343e-05	  4.0001e-05	  2.0001e-05	  3.2736e-07	  5.1763e-05	  1.0274e-06	 -4.5471e+00	 -4.8382e+00	 -6.4910e+00	     -8.2050	    -16.6646	     -0.1973	     -0.0000	     -0.2000	    -13.8259	    -19.2795	    -23.9826	  1.5000e+00	 -1.4080e-08	  8.0000e-01	 -3.1813e-09	  3.0000e-01	 -1.7610e-07	  7.0000e+00	  4.7855e+00	 -1.5747e-05	  2.9994e-05	  1.5343e-05	  3.2736e-07	
           8	     4.78713	      18.000	-1.56856e-05	 0.000149957	     77.9456	  2.9997e-05	  1.5394e-05	  4.0001e-05	  2.0001e-05	  3.2859e-07	  5.1763e-05	  1.0156e-06	 -4.5471e+00	 -4.8368e+00	 -6.4894e+00	     -8.2017	    -16.6566	     -0.1973	     -0.0000	     -0.2000	    -13.8225	    -19.2714	    -23.9731	  1.5000e+00	 -1.6092e-08	  8.0000e-01	 -3.6358e-09	  3.0000e-01	 -2.0126e-07	  8.0000e+00	  4.7871e+00	 -1.5686e-05	  2.9997e-05	  1.5394e-05	  3.2859e-07	
           9	     4.78881	      18.000	 -1.5624e-05	 0.000149974	     77.9444	  2.9999e-05	  1.5444e-05	  4.0001e-05	  2.0001e-05	  3.2983e-07	  5.1763e-05	  1.0039e-06	 -4.5471e+00	 -4.8354e+00	 -6.4878e+00	     -8.1983	    -16.6485	     -0.1973	     -0.0000	     -0.2000	    -13.8191	    -19.2632	    -23.9635	  1.5000e+00	 -1.8103e-08	  8.0000e-01	 -4.0903e-09	  3.0000e-01	 -2.2642e-07	  9.0000e+00	  4.7888e+00	 -1.5624e-05	  2.9999e-05	  1.5444e-05	  3.2983e-07	
